,stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
264,2,0,0,0,1,0,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,True
265,3,0,0,0,1,1,1,3,3,0,0,0,1,1,1,3,5,0,0,1,2,1,2,5,False
266,2,0,0,0,1,0,1,2,5,0,0,1,2,1,2,5,13,1,1,1,2,1,6,5,True
267,2,0,0,0,1,0,1,2,7,0,0,1,3,1,3,7,5,0,0,1,2,1,2,5,False
268,2,0,0,0,1,0,1,2,8,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,True
269,2,0,0,0,1,0,1,2,11,1,1,0,1,1,5,3,9,1,1,0,0,1,4,1,False
270,3,0,0,0,1,1,1,3,12,1,1,1,2,0,6,4,7,0,0,1,3,1,3,7,False
271,2,0,0,0,1,0,1,2,14,1,1,1,3,0,7,6,6,0,0,1,3,0,3,6,True
272,5,0,0,1,2,1,2,5,1,0,0,0,0,1,0,1,9,1,1,0,0,1,4,1,True
273,4,0,0,1,2,0,2,4,2,0,0,0,1,0,1,2,11,1,1,0,1,1,5,3,True
274,5,0,0,1,2,1,2,5,4,0,0,1,2,0,2,4,9,1,1,0,0,1,4,1,False
275,5,0,0,1,2,1,2,5,7,0,0,1,3,1,3,7,14,1,1,1,3,0,7,6,True
276,5,0,0,1,2,1,2,5,8,1,1,0,0,0,4,0,13,1,1,1,2,1,6,5,False
277,4,0,0,1,2,0,2,4,11,1,1,0,1,1,5,3,10,1,1,0,1,0,5,2,True
278,4,0,0,1,2,0,2,4,12,1,1,1,2,0,6,4,3,0,0,0,1,1,1,3,False
279,4,0,0,1,2,0,2,4,15,1,1,1,3,1,7,7,8,1,1,0,0,0,4,0,False
280,7,0,0,1,3,1,3,7,0,0,0,0,0,0,0,0,8,1,1,0,0,0,4,0,True
281,6,0,0,1,3,0,3,6,2,0,0,0,1,0,1,2,11,1,1,0,1,1,5,3,True
282,7,0,0,1,3,1,3,7,5,0,0,1,2,1,2,5,12,1,1,1,2,0,6,4,True
283,7,0,0,1,3,1,3,7,7,0,0,1,3,1,3,7,4,0,0,1,2,0,2,4,False
284,6,0,0,1,3,0,3,6,8,1,1,0,0,0,4,0,1,0,0,0,0,1,0,1,True
285,7,0,0,1,3,1,3,7,10,1,1,0,1,0,5,2,2,0,0,0,1,0,1,2,True
286,7,0,0,1,3,1,3,7,12,1,1,1,2,0,6,4,14,1,1,1,3,0,7,6,False
287,6,0,0,1,3,0,3,6,14,1,1,1,3,0,7,6,10,1,1,0,1,0,5,2,False
288,8,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,10,1,1,0,1,0,5,2,False
289,9,1,1,0,0,1,4,1,3,0,0,0,1,1,1,3,13,1,1,1,2,1,6,5,False
290,9,1,1,0,0,1,4,1,4,0,0,1,2,0,2,4,10,1,1,0,1,0,5,2,False
291,8,1,1,0,0,0,4,0,6,0,0,1,3,0,3,6,6,0,0,1,3,0,3,6,True
292,9,1,1,0,0,1,4,1,9,1,1,0,0,1,4,1,6,0,0,1,3,0,3,6,False
293,8,1,1,0,0,0,4,0,10,1,1,0,1,0,5,2,2,0,0,0,1,0,1,2,True
294,9,1,1,0,0,1,4,1,13,1,1,1,2,1,6,5,4,0,0,1,2,0,2,4,True
295,8,1,1,0,0,0,4,0,14,1,1,1,3,0,7,6,12,1,1,1,2,0,6,4,False
296,11,1,1,0,1,1,5,3,1,0,0,0,0,1,0,1,8,1,1,0,0,0,4,0,True
297,10,1,1,0,1,0,5,2,2,0,0,0,1,0,1,2,3,0,0,0,1,1,1,3,True
298,10,1,1,0,1,0,5,2,5,0,0,1,2,1,2,5,5,0,0,1,2,1,2,5,True
299,11,1,1,0,1,1,5,3,6,0,0,1,3,0,3,6,5,0,0,1,2,1,2,5,False
300,11,1,1,0,1,1,5,3,9,1,1,0,0,1,4,1,9,1,1,0,0,1,4,1,True
301,10,1,1,0,1,0,5,2,11,1,1,0,1,1,5,3,10,1,1,0,1,0,5,2,True
302,11,1,1,0,1,1,5,3,12,1,1,1,2,0,6,4,13,1,1,1,2,1,6,5,True
303,10,1,1,0,1,0,5,2,14,1,1,1,3,0,7,6,1,0,0,0,0,1,0,1,False
304,12,1,1,1,2,0,6,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,True
305,12,1,1,1,2,0,6,4,3,0,0,0,1,1,1,3,2,0,0,0,1,0,1,2,True
306,12,1,1,1,2,0,6,4,4,0,0,1,2,0,2,4,4,0,0,1,2,0,2,4,True
307,12,1,1,1,2,0,6,4,6,0,0,1,3,0,3,6,13,1,1,1,2,1,6,5,False
308,13,1,1,1,2,1,6,5,8,1,1,0,0,0,4,0,10,1,1,0,1,0,5,2,False
309,12,1,1,1,2,0,6,4,11,1,1,0,1,1,5,3,3,0,0,0,1,1,1,3,True
310,13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,True
311,12,1,1,1,2,0,6,4,14,1,1,1,3,0,7,6,3,0,0,0,1,1,1,3,False
312,15,1,1,1,3,1,7,7,0,0,0,0,0,0,0,0,5,0,0,1,2,1,2,5,False
313,14,1,1,1,3,0,7,6,2,0,0,0,1,0,1,2,12,1,1,1,2,0,6,4,False
314,14,1,1,1,3,0,7,6,5,0,0,1,2,1,2,5,12,1,1,1,2,0,6,4,True
315,14,1,1,1,3,0,7,6,7,0,0,1,3,1,3,7,14,1,1,1,3,0,7,6,True
316,14,1,1,1,3,0,7,6,8,1,1,0,0,0,4,0,7,0,0,1,3,1,3,7,False
317,15,1,1,1,3,1,7,7,11,1,1,0,1,1,5,3,11,1,1,0,1,1,5,3,True
318,14,1,1,1,3,0,7,6,13,1,1,1,2,1,6,5,5,0,0,1,2,1,2,5,True
319,15,1,1,1,3,1,7,7,15,1,1,1,3,1,7,7,7,0,0,1,3,1,3,7,True
